1.955259919166564941e+00,8.413044214248657227e-01,-3.626370802521705627e-02,2.723514474928379059e-02,3.675103187561035156e-02
1.955259919166564941e+00,8.413044214248657227e-01,-3.626370802521705627e-02,2.723514474928379059e-02,3.675103187561035156e-02
1.956048607826232910e+00,8.406551480293273926e-01,-1.919076032936573029e-02,4.224638640880584717e-02,3.671374171972274780e-02
1.955355763435363770e+00,8.407555222511291504e-01,-1.081771496683359146e-02,4.445574805140495300e-02,3.667194768786430359e-02
1.955355763435363770e+00,8.407555222511291504e-01,-1.081771496683359146e-02,4.445574805140495300e-02,3.667194768786430359e-02
1.953454256057739258e+00,8.414782285690307617e-01,-1.518320641480386257e-03,4.575790837407112122e-02,3.658936172723770142e-02
1.951797127723693848e+00,8.418849110603332520e-01,2.846269169822335243e-03,4.697933048009872437e-02,3.653088957071304321e-02
1.951797127723693848e+00,8.418849110603332520e-01,2.846269169822335243e-03,4.697933048009872437e-02,3.653088957071304321e-02
1.948266983032226562e+00,8.433780670166015625e-01,4.573650658130645752e-03,5.148905888199806213e-02,3.642405569553375244e-02
1.945700049400329590e+00,8.447141051292419434e-01,6.131369620561599731e-03,5.728437006473541260e-02,3.635825216770172119e-02
1.945700049400329590e+00,8.447141051292419434e-01,6.131369620561599731e-03,5.728437006473541260e-02,3.635825216770172119e-02
1.940725445747375488e+00,8.474974036216735840e-01,1.088621467351913452e-02,7.060167938470840454e-02,3.625050187110900879e-02
1.937245607376098633e+00,8.496856093406677246e-01,1.747863367199897766e-02,7.639145851135253906e-02,3.618840500712394714e-02
1.937245607376098633e+00,8.496856093406677246e-01,1.747863367199897766e-02,7.639145851135253906e-02,3.618840500712394714e-02
1.931104540824890137e+00,8.535833954811096191e-01,3.289178386330604553e-02,7.670594006776809692e-02,3.609550371766090393e-02
1.927415251731872559e+00,8.556265830993652344e-01,4.378397017717361450e-02,6.612239778041839600e-02,3.604492917656898499e-02
1.927415251731872559e+00,8.556265830993652344e-01,4.378397017717361450e-02,6.612239778041839600e-02,3.604492917656898499e-02
1.920693635940551758e+00,8.601113557815551758e-01,5.233960598707199097e-02,4.531073942780494690e-02,3.593952581286430359e-02
1.916367888450622559e+00,8.624096512794494629e-01,4.926129058003425598e-02,3.875071555376052856e-02,3.586299344897270203e-02
1.916367888450622559e+00,8.624096512794494629e-01,4.926129058003425598e-02,3.875071555376052856e-02,3.586299344897270203e-02
1.908668875694274902e+00,8.664388060569763184e-01,3.742085024714469910e-02,2.947953529655933380e-02,3.571641072630882263e-02
